"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Verify User is able to Login on the Website, Add 1 product in the cart and then Checkout","Verify the user should not be able to login to Respond.Io with invalid username","0","1","0","0","0"
"","Verify User is able to Login on the Website, Add 1 product in the cart and then Checkout","Verify the user is able to open the Browser and Login to the Respond.io","0","0","1","0","0"
"","Verify User is able to Login on the Website, Add 1 product in the cart and then Checkout","Verify the user is able to Add users","0","1","0","0","0"
